feature,importance
item_sales_mean_7d,14.084324631878209
sales_mean_30d,11.479917277383128
sales_median_7d,10.646688394044311
day_of_week,9.070241220675195
sales_mean_14d,6.372221037729724
item_nbr,5.6016840960553465
onpromotion,5.272092151631847
item_sales_mean_14d,3.742428814824376
store_nbr,3.4660557215155205
ratio_7d_30d,2.937133003819134
is_weekend,2.6661702149549544
sf_sales_mean_7d,2.239997497235569
family_sales_mean_7d,2.219620371985579
sales_mean_7d,2.0170757903150562
lag_7,1.810842397980414
day_of_month,1.564725956119195
promo_mean_14d,1.4736072497881116
lag_14,1.2589765229869045
item_sales_mean_30d,1.1553846699234485
transactions_lag1,1.0880744533255362
cluster,0.9492036393005597
sales_std_14d,0.8677191595290429
type,0.8294299101191124
promo_mean_7d,0.7605571144540788
sf_sales_mean_14d,0.6895511881313706
family,0.6478864319165563
sales_std_7d,0.6348869877221346
store_sales_mean_7d,0.596185639139515
promo_mean_30d,0.5145983380934275
city,0.43694092202415374
oil_ma7,0.41386842524072986
state,0.3925851773276117
dcoilwtico,0.3588704249818314
class,0.3453316995900213
promo_sum_30d,0.30432566408112915
perishable,0.2693574178940861
transactions_mean7,0.2409246932314736
is_month_start,0.22957556619065
promo_streak,0.1093436677893267
holiday_type,0.08859463106957347
promo_sum_7d,0.05230759362480613
diff_7d_14d,0.04224829406707768
sales_momentum,0.037255844538365494
promo_sum_14d,0.02119009577165366
is_holiday_local,0.0
is_payday,0.0
zero_ratio_7d,0.0
days_since_last_nonzero,0.0
